"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Fungsi tes yang bersih, hanya fokus pada aksi dan verifikasi.","6014","test_login_scenarios[performance_glitch_user-secret_sauce-inventory.html]","","Tue Oct 07 07:13:12 UTC 2025","passed","Tue Oct 07 07:13:18 UTC 2025","","test_login","",""
"Fungsi tes yang bersih, hanya fokus pada aksi dan verifikasi.","1031","test_login_scenarios[standard_user-secret_sauce-inventory.html]","","Tue Oct 07 07:12:59 UTC 2025","passed","Tue Oct 07 07:13:00 UTC 2025","","test_login","",""
"Tes untuk mengambil data satu user dan memverifikasinya.","398","test_get_single_user","API","Tue Oct 07 07:12:54 UTC 2025","passed","Tue Oct 07 07:12:54 UTC 2025","","test_api","",""
"Fungsi tes yang bersih, hanya fokus pada aksi dan verifikasi.","5453","test_login_scenarios[performance_glitch_user-secret_sauce-inventory.html]","WEB_PROJECTS.SauceDemo","Wed Oct 15 15:21:45 UTC 2025","passed","Wed Oct 15 15:21:51 UTC 2025","","test_login","",""
"Fungsi tes yang bersih, hanya fokus pada aksi dan verifikasi.","1039","test_login_scenarios[problem_user-secret_sauce-inventory.html]","","Tue Oct 07 07:13:08 UTC 2025","passed","Tue Oct 07 07:13:09 UTC 2025","","test_login","",""
"Fungsi tes yang bersih, hanya fokus pada aksi dan verifikasi.","1839","test_login_scenarios[standard_user-secret_sauce-inventory.html]","WEB_PROJECTS.SauceDemo","Wed Oct 15 15:21:41 UTC 2025","passed","Wed Oct 15 15:21:43 UTC 2025","","test_login","",""
"Fungsi tes yang bersih, hanya fokus pada aksi dan verifikasi.","267","test_login_scenarios[locked_out_user-secret_sauce-Sorry, this user has been locked out]","","Tue Oct 07 07:00:16 UTC 2025","passed","Tue Oct 07 07:00:16 UTC 2025","","test_login","",""
"Tes untuk menghapus postingan dan memverifikasi bahwa ia sudah hilang.","1431","test_delete_post","API","Tue Oct 07 07:12:54 UTC 2025","failed","Tue Oct 07 07:12:56 UTC 2025","","test_api_del","",""
"Fungsi tes yang bersih, hanya fokus pada aksi dan verifikasi.","1007","test_login_scenarios[locked_out_user-secret_sauce-PASTI AMBIL SCREENSHOT]","","Tue Oct 07 07:13:03 UTC 2025","failed","Tue Oct 07 07:13:04 UTC 2025","","test_login","",""
"Tes untuk membuat postingan baru di JSONPlaceholder.","603","test_create_new_post","API","Tue Oct 07 07:12:56 UTC 2025","passed","Tue Oct 07 07:12:57 UTC 2025","","test_api_post","",""
"
Satu fungsi tes untuk menangani berbagai skenario perhitungan.
","5589","Tes Perhitungan: 9 - 3 = 6","","Mon Oct 13 14:11:00 UTC 2025","passed","Mon Oct 13 14:11:06 UTC 2025","","test_mobile_calculator","",""
"
Satu fungsi tes untuk menangani berbagai skenario perhitungan.
","6166","Tes Perhitungan: 7 + 5 = 12","","Mon Oct 13 14:10:54 UTC 2025","passed","Mon Oct 13 14:11:00 UTC 2025","","test_mobile_calculator","",""
"Fungsi tes yang bersih, hanya fokus pada aksi dan verifikasi.","438","test_login_scenarios[problem_user-secret_sauce-inventory.html]","WEB_PROJECTS.SauceDemo","Wed Oct 15 15:21:44 UTC 2025","passed","Wed Oct 15 15:21:45 UTC 2025","","test_login","",""
"Fungsi tes yang bersih, hanya fokus pada aksi dan verifikasi.","465","test_login_scenarios[locked_out_user-secret_sauce-Sorry, this user has been locked out.]","WEB_PROJECTS.SauceDemo","Wed Oct 15 15:21:44 UTC 2025","passed","Wed Oct 15 15:21:44 UTC 2025","","test_login","",""
"
Satu fungsi tes untuk menangani berbagai skenario perhitungan.
","5737","Tes Perhitungan: 1 + 0 = 1","","Mon Oct 13 14:11:06 UTC 2025","passed","Mon Oct 13 14:11:11 UTC 2025","","test_mobile_calculator","",""
"Tes untuk memperbarui/mengubah data postingan yang sudah ada.","1099","test_update_post","API","Tue Oct 07 07:12:57 UTC 2025","passed","Tue Oct 07 07:12:58 UTC 2025","","test_api_put","",""
